name;m;sigma;u;ref
dibutyl phthalate;7.73;3.657;265.37;[2]
dibutyl sebacate;10.27;3.591;237.05;[2]
dibutyl succinate;6.46;3.707;259.49;[10]
dichlorosilane;2.08;3.655;251.49;[2]
dichloromethane;2.26;3.338;274.2;[2]
diethyl disulfide;3.14;3.791;297.77;[2]
diethyl ether;2.9;3.475;224.22;[11]
diethyl maleate;5.36;3.588;257.45;[2]
diethyl phthalate;6.84;3.474;262.72;[2]
diethyl succinate;6.22;3.32;238.21;[2]
diethyl sulfide;2.91;3.66;266.25;[2]
diketene;3.83;3.027;258.6;[2]
dimethylchlorosilane;2.52;3.777;240.78;[2]
dimethyldichlorosilane;3.08;3.692;238.85;[2]
dimethyl disulfide;2.64;3.584;300.67;[2]
dimethyl ether;2.31;3.253;211.06;[4]
dimethyl maleate;5.01;3.268;262.83;[2]
dimethyl phthalate;5.68;3.45;284.56;[2]
dimethylsilane;1.78;4.053;241.95;[2]
dimethyl sulfide;2.2;3.498;273.25;[2]
diphenyl ether;3.6;4.021;340.4;[2]
dipropyl disulfide;3.92;3.822;285.78;[2]
dipropyl ether;3.49;3.693;234.16;[2]
dipropyl maleate;7.26;3.137;235.22;[2]
dipropyl phthalate;6.98;3.61;268.8;[2]
dipropyl sulfide;3.55;3.777;267.42;[2]
disilane;1.48;4.021;284;[2]
docosane;8.96;3.951;254.31;[2]
dodecane;5.31;3.896;249.21;[4]
eicosane;7.99;3.987;257.75;[4]
ethane;1.61;3.521;191.42;[4]
ethanethiol;2.17;3.53;272.62;[3]
ethoxybenzene;3.89;3.565;275.37;[2]
ethyl dodecanoate;6.89;3.762;248.28;[9]
ethyl ethanoate;3.54;3.308;230.8;[4]
ethyl heptadecanoate;8.55;3.865;252.72;[9]
ethyl hexanoate;4.73;3.608;242.09;[9]
ethyl methanoate;2.89;3.311;246.47;[4]
ethyl nonanoate;5.74;3.715;247.07;[9]
ethyl octanoate;5.44;3.676;244.8;[9]
ethyl pentanoate;4.53;3.522;235.96;[9]
ethyl propanoate;3.84;3.403;232.78;[4]
ethyl tetradecanoate;7.32;3.845;254.1;[9]
ethyl undecanoate;6.49;3.751;248.77;[9]
ethylbenzene;3.08;3.797;287.35;[9]
ethylcyclohexane;2.83;4.104;294.04;[4]
ethylcyclopentane;2.91;3.887;270.5;[4]
ethylene;1.59;3.445;176.47;[4]
ethylhexyl acetate;5.91;3.531;231.85;[2]
ethyl tert-butyl sulfide;3.15;3.934;268.45;[2]
ethyne;2.49;2.758;156.17;[2]
glutaric anhydride;4.13;3.195;353.59;[2]
heptadecane;6.98;3.968;255.65;[4]
heptane;3.48;3.805;238.4;[4]
heptyl acetate;5.38;3.587;239.08;[2]
hexadecane;6.65;3.955;254.7;[4]
hexamethyl disilazane;4.48;3.917;219.01;[2]
hexamethyl disiloxane;4.05;4.047;214.19;[2]
hexane;3.06;3.798;236.77;[4]
hexatriacontane;14.33;3.884;252.89;[2]
hexyl acetate;4.85;3.583;241.42;[2]
hydrogen sulfide;1.69;3.021;226.79;[2]
indane;3.11;3.823;316.99;[2]
indene;2.9;3.88;334.88;[2]
isobutane;2.26;3.757;216.53;[4]
isobutyl acetate;4.2;3.452;229.69;[2]
isopentane;2.56;3.83;230.75;[4]
isopentyl acetate;4.18;3.63;244.76;[2]
isophorone;3.26;4.032;328.86;[2]
isopropyl acetate;3.61;3.482;231.91;[2]
isopropylcyclohexane;3.27;4.042;284.66;[2]
isopropylcyclopentane;3.03;4.002;278.15;[2]
m-dibromobenzene;2.88;3.914;363.31;[2]
m-dinitrobenzene;6.07;3.003;293.97;[2]
methane;1;3.704;150.03;[4]
methanethiol;1.94;3.3;270.41;[3]
methyl butanoate;3.68;3.444;240.62;[4]
methyl chloride;1.93;3.229;240.56;[4]
methylchlorosilane;2.04;3.787;251.97;[2]
methyldichlorosilane;2.44;3.757;251.73;[2]
methyl ethyl sulfide;2.53;3.611;271.4;[2]
methyl isobutyl ketone;3.36;3.68;259.89;[2]
methyl methanoate;2.68;3.088;242.63;[4]
methyl oleate;9.67;3.651;240.45;[2]
methyl propanoate;3.48;3.314;234.96;[4]
methylsilane;1.92;3.654;198.36;[2]
methyltrichlorosilane;2.6;3.882;259.26;[2]
methylcyclohexane;2.66;3.999;282.33;[4]
methylcyclopentadiene;2.77;3.593;260.55;[2]
methylcyclopentane;2.61;3.825;265.12;[4]
methyl-n-butyl sulfide;3.24;3.719;270.11;[2]
methyl n-pentyl ether;3.89;3.548;227.85;[2]
methyl n-propyl ether;3.19;3.39;215.43;[2]
methyl n-propyl sulfide;2.93;3.652;267.83;[2]
methyl tert-butyl sulfide;2.8;3.909;273.18;[2]
methyl t-pentyl sulfide;2.97;4.031;299.81;[2]
